genome_id,resistant_phenotype
"1773.20000","Susceptible"
"1773.40347","Resistant"
"1733.10928","Resistant"
"1773.35329","Susceptible"
"1773.34977","Susceptible"
"1773.14908","Susceptible"
"1733.10240","Susceptible"
"1773.33495","Susceptible"
"1733.3918","Susceptible"
"1733.3693","Susceptible"
"1773.28387","Susceptible"
"1773.42729","Resistant"
"1773.19235","Susceptible"
"1773.42199","Susceptible"
"1773.20335","Resistant"
"1773.17932","Susceptible"
"1773.34466","Susceptible"
"1733.2739","Resistant"
"1733.7018","Resistant"
"1773.18484","Resistant"
"1733.5813","Resistant"
"1733.8913","Resistant"
"1773.14549","Susceptible"
"1773.41773","Susceptible"
"1773.15141","Susceptible"
"1773.30617","Susceptible"
"1773.32919","Resistant"
"1733.6566","Susceptible"
"1773.36705","Susceptible"
"1773.19384","Susceptible"
"1773.15625","Susceptible"
"1773.15589","Susceptible"
"1773.21404","Resistant"
"1773.19978","Susceptible"
"1733.9882","Resistant"
"1773.34585","Susceptible"
"1773.36944","Susceptible"
"1773.42195","Resistant"
"1773.36567","Resistant"
"1773.35243","Susceptible"
"1733.7344","Resistant"
"1733.5463","Susceptible"
"1773.5290","Resistant"
"1733.2374","Susceptible"
"1773.29633","Resistant"
"1773.4139","Resistant"
"1773.13267","Susceptible"
"1733.7039","Susceptible"
"1773.39550","Resistant"
"1733.10125","Susceptible"
"1773.38399","Susceptible"
"1773.32652","Susceptible"
"1773.2528","Susceptible"
"1733.3428","Susceptible"
"1733.3290","Susceptible"
"1773.20509","Resistant"
"1773.40241","Susceptible"
"1733.8774","Resistant"
"1733.4454","Susceptible"
"1455285.3","Resistant"
"1733.8449","Susceptible"
"1733.8114","Susceptible"
"1733.8031","Susceptible"
"1773.27020","Resistant"
"1733.1923","Susceptible"
"1773.17615","Resistant"
"1733.6116","Susceptible"
"1733.952","Resistant"
"1494075.168","Susceptible"
"1733.1016","Resistant"
"1773.4879","Susceptible"
"1773.39710","Susceptible"
"1773.28574","Susceptible"
"1773.34510","Susceptible"
"1773.20238","Susceptible"
"1408954.4","Susceptible"
"1773.39877","Resistant"
"1773.32367","Susceptible"
"1773.8064",
"1733.10608","Susceptible"
